type,item,element,before,after,module,path
change,performance.nodes,,2524.0,1508.0,headless,/home.html
change,performance.script_duration,,2.1,1.5,headless,/home.html
change,performance.time_to_first_byte,,622.0,227.0,headless,/home.html
change,performance.resources,,52.0,94.0,headless,/contact-us.html
change,performance.jd_heap_used_size,,12152108.0,15872332.0,headless,/contact-us.html
change,performance.time_to_first_byte,,603.0,154.0,headless,/contact-us.html
change,performance.first_paint,,1045.55,585.64,headless,/contact-us.html
change,performance.first_contentful_paint,,1045.55,585.64,headless,/contact-us.html
change,performance.time_to_interactive,,1372.0,902.0,headless,/contact-us.html
change,performance.dom_content_loaded,,1372.0,902.0,headless,/contact-us.html
change,performance.dom_complete,,2104.0,1465.0,headless,/contact-us.html
change,performance.nodes,,2076.0,1218.0,headless,/about/community.html
change,performance.layout_duration,,0.07,0.09,headless,/about/community.html
change,performance.script_duration,,1.52,1.2,headless,/about/community.html
change,performance.nodes,,2622.0,1678.0,headless,/about/community/grant-requests.html
change,performance.script_duration,,4.28,0.94,headless,/about/community/grant-requests.html
change,performance.task_duration,,5.13,1.79,headless,/about/community/grant-requests.html
change,performance.thread_time,,1.89,1.51,headless,/about/community/grant-requests.html
change,performance.largest_contentful_paint,,6969.42,3538.95,headless,/about/community/grant-requests.html
change,performance.nodes,,2658.0,1640.0,headless,/about/community/environment.html
change,performance.script_duration,,1.3,0.93,headless,/about/community/environment.html
change,performance.thread_time,,2.06,1.52,headless,/about/community/environment.html
change,performance.time_to_first_byte,,372.0,108.0,headless,/about/community/environment.html
change,performance.first_paint,,802.37,533.58,headless,/about/community/environment.html
change,performance.first_contentful_paint,,802.37,533.58,headless,/about/community/environment.html
change,performance.largest_contentful_paint,,4627.21,575.53,headless,/about/community/environment.html
change,performance.time_to_interactive,,1131.0,835.0,headless,/about/community/environment.html
change,performance.dom_content_loaded,,1131.0,835.0,headless,/about/community/environment.html
